name,domain,sector,filepath
halfen gmbh,halfen.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/halfen.com.png
valley interior systems,valleyinteriorsystems.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/valleyinteriorsystems.com.png
sando,sando.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sando.com.png
daikin applied (uk) ltd,daikinapplied.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/daikinapplied.uk.png
superior mechanical services,superiormech.net,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/superiormech.net.png
mcelhanney,mcelhanney.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/mcelhanney.com.png
effektief groep,effektiefgroep.nl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/effektiefgroep.nl.png
de luca,deluca.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/deluca.com.au.png
gap construction,gapinsaat.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/gapinsaat.com.png
ulma construction,ulmaconstruction.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ulmaconstruction.com.png
ssc service solutions,sscserv.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sscserv.com.png
john holland,johnholland.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/johnholland.com.au.png
cimento tupi,cimentotupi.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/cimentotupi.com.br.png
kontakt shpk,kontakt.al,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/kontakt.al.png
nudura insulated concrete forms,nudura.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/nudura.com.png
srg limited,srglimited.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/srglimited.com.au.png
harvey group plc,harveygroup.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/harveygroup.co.uk.png
sirve ingeniería,sirve.cl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sirve.cl.png
delcan corporation,delcan.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/delcan.com.png
parsons corporation,parsons.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/parsons.com.png
al asab general transport & contracting company,alasab.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/alasab.com.png
firth industries ltd,firth.co.nz,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/firth.co.nz.png
pt.beton perkasa wijaksana,betonperkasa.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/betonperkasa.com.png
123 exteriors,123exteriors.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/123exteriors.com.png
association de la construction du québec (acq),acq.org,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/acq.org.png
bergelectric,bergelectric.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/bergelectric.com.png
aaa property services,aaacompanies.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aaacompanies.com.png
gürsoy grup,gursoygrup.com.tr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/gursoygrup.com.tr.png
tecman s.a.l.,tecman.co,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/tecman.co.png
chugach alaska corporation,chugach.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/chugach.com.png
zgemi inc.,zgemi.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/zgemi.com.png
lochmueller group,lochgroup.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/lochgroup.com.png
sgb uk access,sgb.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sgb.co.uk.png
energo engineering projects limited,energoindia.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/energoindia.com.png
aramsco,aramsco.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aramsco.com.png
usg,usg.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/usg.com.png
carthage cement,carthagecement.com.tn,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/carthagecement.com.tn.png
dormitory authority state of ny,dasny.org,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/dasny.org.png
dominia as,dominia.dk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/dominia.dk.png
performance contractors,performance-br.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/performance-br.com.png
apij (agence publique pour l'immobilier de la justice),justice.fr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/justice.fr.png
d line as,dline.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/dline.com.png
inmobiliaria numancia,numancia.cl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/numancia.cl.png
cfield construction ltd.,cfieldconstruction.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/cfieldconstruction.com.png
inma utilities contracting company,arabianbemco.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/arabianbemco.com.png
italon,italonceramica.ru,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/italonceramica.ru.png
james l williams middle east,jlwme.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/jlwme.com.png
akşan group,aksan-group.com.tr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aksan-group.com.tr.png
system pavers,systempavers.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/systempavers.com.png
rubber world industries l.l.c,gulfoflex.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/gulfoflex.com.png
aquacorp,aquacorp.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aquacorp.com.png
wyckaert bouwonderneming,wyckaert.eu,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/wyckaert.eu.png
combined group contracting company (ksc),cgc-kw.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/cgc-kw.com.png
construtora calper,calper.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/calper.com.br.png
häfele,hafele.fr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/hafele.fr.png
adarsh developers,adarshdevelopers.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/adarshdevelopers.com.png
citb,citb.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/citb.co.uk.png
glaskek,glaskek.ru,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/glaskek.ru.png
green s.a.,greensa.com.ar,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/greensa.com.ar.png
saint-gobain ecophon ab,ecophon.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ecophon.com.png
moss & associates,mosscm.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/mosscm.com.png
industrias sica saic,sicaelec.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sicaelec.com.png
general construction company,gccuae.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/gccuae.com.png
strukton civiel,struktonciviel.nl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/struktonciviel.nl.png
rodgers leask ltd,rodgersleask.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/rodgersleask.co.uk.png
stas picture hanging systems,stasgroup.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/stasgroup.com.png
gfds engineers,gfdseng.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/gfdseng.com.png
stiler sa,stiler.com.uy,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/stiler.com.uy.png
pt. senayan trikarya sempana (kajima design asia's design site office),plaza-senayan.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/plaza-senayan.com.png
ibew local 11,ibew11.org,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ibew11.org.png
rawson group,rawson.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/rawson.com.au.png
easy s.a.,easy.cl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/easy.cl.png
"""jsc """"a101 development""""""",a101.ru,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/a101.ru.png
graniterock,graniterock.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/graniterock.com.png
fermacell gmbh,fermacell.de,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/fermacell.de.png
knauf france,knauf.fr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/knauf.fr.png
csr limited,csr.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/csr.com.au.png
gratte brothers group,gratte.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/gratte.com.png
hilti españa,hilti.es,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/hilti.es.png
mad city roofing & windows,madcitywindows.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/madcitywindows.com.png
fv,fvsa.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/fvsa.com.png
interstate restoration,interstaterestoration.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/interstaterestoration.com.png
aw groep,awgroep.nl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/awgroep.nl.png
iss facility services,issgr.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/issgr.com.png
mr. handyman,mrhandyman.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/mrhandyman.com.png
city of elizabeth,elizabethnj.org,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/elizabethnj.org.png
fenesta building systems,fenesta.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/fenesta.com.png
mola (museum of london archaeology),mola.org.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/mola.org.uk.png
saudi binladen group,suryadatta.org,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/suryadatta.org.png
renson ventilation - sunprotection - outdoor,renson.eu,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/renson.eu.png
byrne bros (formwork),byrne-bros.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/byrne-bros.co.uk.png
knaapengroep,knaapen.nl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/knaapen.nl.png
toll brothers inc,rapidoffshore.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/rapidoffshore.com.png
concyssa s.a.,concyssa.com.pe,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/concyssa.com.pe.png
grupo puma,grupopuma.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/grupopuma.com.png
rmd kwikform,rmdkwikform.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/rmdkwikform.com.png
land surveys,landsurveys.net.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/landsurveys.net.au.png
jacops nv,jacops.be,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/jacops.be.png
hobart city council,hobartcity.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/hobartcity.com.au.png
dewberry,dewberry.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/dewberry.com.png
demont,demont.it,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/demont.it.png
distrito castellana norte,distritocastellananorte.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/distritocastellananorte.com.png
woodtone,woodtone.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/woodtone.com.png
larsen & toubro,larsentoubro.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/larsentoubro.com.png
international masonry institute,imiweb.org,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/imiweb.org.png
transfield services,broadspectrum.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/broadspectrum.com.png
roy anderson corp,rac.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/rac.com.png
apache industrial services,apacheip.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/apacheip.com.png
gruppo nazca,grupponazca.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/grupponazca.com.png
perfileve,perfileve.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/perfileve.com.br.png
kåver och mellin ab,kaver-mellin.se,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/kaver-mellin.se.png
construtora terraco,construtoraterraco.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/construtoraterraco.com.br.png
qualitá granitos e mármores ltda,grupoqualita.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/grupoqualita.com.br.png
woodbridge glass inc.,woodbridgeglass.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/woodbridgeglass.com.png
aluprof,aluprof.eu,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aluprof.eu.png
hemink groep b.v.,heminkgroep.nl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/heminkgroep.nl.png
delta built environment consultants,deltabec.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/deltabec.com.png
kenyon noble lumber,kenyonnoble.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/kenyonnoble.com.png
aksoy aluminyum,aksoyaluminyum.com.tr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/aksoyaluminyum.com.tr.png
telge ab,telge.se,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/telge.se.png
sasco,sasco.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sasco.com.png
hickory group (aus),hickory.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/hickory.com.au.png
tully de'ath,tullydeath.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/tullydeath.com.png
monier france,monier.fr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/monier.fr.png
tcm corp.,tcmcorp.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/tcmcorp.com.png
armstrong world industries,armstrong.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/armstrong.com.png
idaho forest group,idfg.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/idfg.com.png
paul davis restoration,pauldavis.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/pauldavis.com.png
ncl industries ltd.,nclind.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/nclind.com.png
flowcrete group ltd,flowcrete.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/flowcrete.com.png
etmc,etmccorp.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/etmccorp.com.png
havelock europa,havelockeuropa.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/havelockeuropa.com.png
metro cúbico engenharia,metrocubicoengenharia.com.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/metrocubicoengenharia.com.br.png
mrcagney pty ltd,mrcagney.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/mrcagney.com.png
douglas partners pty ltd,douglaspartners.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/douglaspartners.com.au.png
sicomaq ltda.,sicomaq.cl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/sicomaq.cl.png
arcora,arcora.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/arcora.com.png
ppg architectural coatings,ppgac.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/ppgac.com.png
optimal project management,optimalpmo.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/optimalpmo.com.png
balmoral tanks,balmoraltanks.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/balmoraltanks.com.png
florida home builders association,fhba.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/fhba.com.png
foxworth-galbraith lumber company,foxgal.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/foxgal.com.png
all weather windows,allweatherwindows.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/allweatherwindows.com.png
suksa,suksa.cl,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/suksa.cl.png
griffith company,griffithcompany.net,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/griffithcompany.net.png
alnasser group,alnasserco.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/alnasserco.com.png
hogares unión,hogaresunion.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/hogaresunion.com.png
brady constructions (vic) pty ltd,bradygroup.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/bradygroup.com.au.png
premier workplace services,premierworkplaceservices.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/premierworkplaceservices.co.uk.png
snappy,snappyco.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/snappyco.com.png
novus property solutions,novussolutions.co.uk,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/novussolutions.co.uk.png
bf joy llc,bfjoy.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/bfjoy.com.png
bird construction,bird.ca,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/bird.ca.png
nes rentals,nesrentals.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/nesrentals.com.png
instant access australia,instantaccess.com.au,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/instantaccess.com.au.png
yeşil holding a.ş.,yesilholding.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/yesilholding.com.png
batıçim batı anadolu çimento sanayii a.ş.,batianadolu.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/batianadolu.com.png
grupo melo,grupomelo.com.mx,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/grupomelo.com.mx.png
j kumar infraprojects ltd,jkumar.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/jkumar.com.png
inaya facilities management services (a member of belhasa group),inaya.ae,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/inaya.ae.png
concor,zeiss.com.cn,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/zeiss.com.cn.png
grupo portland,grupoportland.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/grupoportland.com.png
john e. green company,johnegreen.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/johnegreen.com.png
dlz corporation,dlz.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/dlz.com.png
arabian cement,arabiacement.com,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/arabiacement.com.png
innova property management,innova.net.br,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/innova.net.br.png
cetin civata,cetin.com.tr,Construction & Infrastructure,/Users/armankassam/dis/ann/logo-classifier/data/logos/construction_infrastructure/cetin.com.tr.png
